Agents,X_DIM,Y_DIM,TRIAL_NO,REWARD,NORMALIZED_REWARD,DONE_RATIO,STEPS,ACTION_PROB
5,45,45,100,-2555.0,-2.8870056497175143,0.0,729,[0.89506849 0.00630137 0.08821918 0.00821918 0.00219178]
9,30,30,101,-2099.999999999974,-3.235747303543874,0.0,503,[0.9329806  0.00617284 0.05224868 0.00595238 0.0026455 ]
10,35,35,102,-2078.333333333269,-2.8470319634702315,0.0,579,[0.84862069 0.01       0.07344828 0.00706897 0.06086207]
8,35,35,103,-3504.0000000000264,-4.813186813186849,0.0,575,[0.88324653 0.0093316  0.08116319 0.00889757 0.01736111]
9,40,40,104,-2943.0000000000978,-3.637824474660195,0.0,653,[0.88820931 0.00900442 0.07288481 0.0095141  0.02038736]
9,40,40,105,-3070.6666666667065,-3.7956324680676223,0.0,657,[0.90003377 0.00591017 0.07311719 0.00692334 0.01401554]
8,35,35,106,-3631.25,-4.987980769230769,0.0,580,[0.91480207 0.00666954 0.05938038 0.008821   0.01032702]
10,45,45,107,-4255.000000000104,-4.780898876404611,0.0,739,[0.92121622 0.00756757 0.05756757 0.00891892 0.00472973]
7,25,25,108,-1393.3333333333183,-2.457378012933542,0.0,417,[0.91695147 0.00956938 0.06425154 0.00717703 0.00205058]
10,40,40,109,-3080.0000000001014,-3.8024691358025944,0.0,659,[0.92545455 0.00681818 0.05090909 0.00772727 0.00909091]
5,40,40,110,-990.0,-1.2298136645962734,0.0,659,[0.94333333 0.00333333 0.05121212 0.00212121 0.        ]
7,30,30,111,-1535.4999999999925,-2.3732612055641304,0.0,497,[0.92484223 0.00688468 0.05450373 0.00573723 0.00803213]
10,35,35,112,-3320.666666666713,-4.548858447488648,0.0,585,[0.9052901  0.00750853 0.05836177 0.00716724 0.02167235]
8,35,35,113,-3243.916666666688,-4.4559294871795165,0.0,580,[0.93244406 0.00473322 0.05679862 0.0060241  0.        ]
8,45,45,114,-3496.0000000000996,-3.936936936937049,0.0,735,[0.86379076 0.00798234 0.0872962  0.00730299 0.03362772]
9,25,25,115,-1380.6666666666595,-2.4264792032805964,0.0,435,[0.93603466 0.00407747 0.03924567 0.00637105 0.01427115]
7,45,45,116,-2369.2499999999873,-2.671082299887246,0.0,728,[0.88673329 0.00901431 0.08759553 0.00921027 0.0074466 ]
5,25,25,117,-1260.0,-2.230088495575221,0.0,419,[0.94714286 0.0047619  0.04047619 0.00666667 0.00095238]
6,25,25,118,-1130.6666666666722,-1.9976442873969473,0.0,423,[0.93671384 0.00825472 0.04363208 0.00589623 0.00550314]
9,40,40,119,-2771.0000000000337,-3.425216316440091,0.0,651,[0.91956374 0.00800954 0.06117928 0.00715746 0.00408998]
7,25,25,120,-1241.9999999999993,-2.1904761904761894,0.0,413,[0.85886818 0.01380262 0.0942029  0.00655625 0.02657005]
6,25,25,121,-1554.666666666653,-2.746760895170765,0.0,423,[0.93907233 0.0043239  0.04323899 0.00511006 0.00825472]
7,25,25,122,-1428.1666666666576,-2.518812463256892,0.0,417,[0.93335612 0.00546822 0.04784689 0.00683527 0.00649351]
8,25,25,123,-1439.9999999999952,-2.5352112676056255,0.0,431,[0.93055556 0.00520833 0.03530093 0.00636574 0.02256944]
8,35,35,124,-2907.66666666668,-3.9940476190476377,0.0,571,[0.92351399 0.00611888 0.06293706 0.00743007 0.        ]
6,45,45,125,-2855.250000000031,-3.222629796839764,0.0,728,[0.9005487  0.00594422 0.08024691 0.00548697 0.00777321]
9,30,30,126,-2393.999999999994,-3.6887519260400525,0.0,503,[0.87698413 0.00617284 0.05687831 0.00947972 0.05048501]
8,25,25,127,-1929.583333333322,-3.3971537558685245,0.0,420,[0.82185273 0.00861045 0.0932304  0.01128266 0.06502375]
8,40,40,128,-3225.333333333381,-3.9917491749175507,0.0,655,[0.89862805 0.00590701 0.07259909 0.00533537 0.01753049]
6,35,35,129,-2335.6666666666624,-3.2171717171717114,0.0,571,[0.8974359  0.01107226 0.07604895 0.00786713 0.00757576]
7,35,35,130,-1817.6666666666385,-2.5002292526363665,0.0,573,"[9.30562469e-01 6.96864111e-03 5.67446491e-02 5.22648084e-03
 4.97760080e-04]"
6,35,35,131,-1763.6666666666536,-2.4292929292929113,0.0,571,[0.90180653 0.00815851 0.06730769 0.00844988 0.01427739]
8,35,35,132,-2448.0,-3.3626373626373627,0.0,575,[0.89474826 0.00368924 0.06315104 0.00455729 0.03385417]
10,25,25,133,-1810.4999999999377,-3.1763157894735747,0.0,425,[0.92065728 0.00680751 0.05305164 0.0056338  0.01384977]
9,40,40,134,-3324.500000000026,-4.1093943139678935,0.0,653,[0.92694529 0.00254842 0.04281346 0.0030581  0.02463473]
8,30,30,135,-2005.3333333333032,-3.0946502057612704,0.0,511,[0.92333984 0.00244141 0.03930664 0.00439453 0.03051758]
7,30,30,136,-2282.499999999994,-3.5278207109737156,0.0,497,"[9.49512335e-01 5.45037292e-03 3.81526104e-02 6.31095812e-03
 5.73723465e-04]"
6,35,35,137,-1477.6666666666595,-2.0353535353535253,0.0,571,[0.8951049  0.00757576 0.05798368 0.00611888 0.03321678]
8,35,35,138,-2178.7499999999663,-2.9927884615384155,0.0,580,[0.9246988  0.00430293 0.06346816 0.0060241  0.00150602]
